15.01.2019;03:30:00;20712;0;13650;0
15.01.2019;04:00:00;21510;0;13218;0
15.01.2019;04:30:00;21606;0;13046;0
15.01.2019;05:00:00;22130;0;13706;0
15.01.2019;05:30:00;22156;0;13342;0
15.01.2019;06:00:00;19284;0;11914;0
15.01.2019;06:30:00;19166;0;12058;0
15.01.2019;07:00:00;21636;0;13496;0
15.01.2019;07:30:00;21254;0;13858;0
15.01.2019;08:00:00;21868;0;14338;0
15.01.2019;08:30:00;26152;0;17428;0
15.01.2019;09:00:00;29190;0;17780;0
15.01.2019;09:30:00;27544;0;15928;0
15.01.2019;10:00:00;28692;0;17170;0
15.01.2019;10:30:00;29688;0;17628;0
15.01.2019;11:00:00;30882;0;18508;0
15.01.2019;11:30:00;29894;0;16728;0
15.01.2019;12:00:00;30676;0;18956;0
15.01.2019;12:30:00;29990;0;17680;0
15.01.2019;13:00:00;30316;0;17914;0
15.01.2019;13:30:00;36764;0;19294;0
15.01.2019;14:00:00;37146;0;19604;0
15.01.2019;14:30:00;36660;0;19286;0
15.01.2019;15:00:00;36480;0;19378;0
15.01.2019;15:30:00;37440;0;20200;0
15.01.2019;16:00:00;37072;0;20128;0
15.01.2019;16:30:00;36614;0;19138;0
15.01.2019;17:00:00;37016;0;19756;0
15.01.2019;17:30:00;37190;0;20118;0
15.01.2019;18:00:00;37230;0;18112;0
15.01.2019;18:30:00;38088;0;19296;0
15.01.2019;19:00:00;39258;0;20058;0
15.01.2019;19:30:00;37912;0;19402;0
15.01.2019;20:00:00;37252;0;19906;0
15.01.2019;20:30:00;37450;0;20094;0
15.01.2019;21:00:00;37358;0;19604;0
15.01.2019;21:30:00;38086;0;19854;0
15.01.2019;22:00:00;36334;0;18790;0
15.01.2019;22:30:00;36442;0;19370;0
15.01.2019;23:00:00;35618;0;18748;0
15.01.2019;23:30:00;32552;0;16948;0
15.01.2020;00:00:00;29258;0;16638;0
16.01.2019;00:30:00;23428;0;14214;0
16.01.2019;01:00:00;24138;0;14762;0
16.01.2019;01:30:00;21082;0;12420;0
16.01.2019;02:00:00;21870;0;13266;0
16.01.2019;02:30:00;21342;0;12856;0
16.01.2019;03:00:00;21210;0;13566;0
16.01.2019;03:30:00;20814;0;13312;0
16.01.2019;04:00:00;20852;0;13420;0
16.01.2019;04:30:00;20624;0;13692;0
16.01.2019;05:00:00;22016;0;12806;0
16.01.2019;05:30:00;19766;0;11468;0
16.01.2019;06:00:00;19310;0;11936;0
16.01.2019;06:30:00;18860;0;12146;0
16.01.2019;07:00:00;19224;0;11618;0
16.01.2019;07:30:00;20582;0;12654;0
16.01.2019;08:00:00;22214;0;13882;0
16.01.2019;08:30:00;23966;0;13902;0
16.01.2019;09:00:00;25246;0;15466;0
16.01.2019;09:30:00;28072;0;17116;0
16.01.2019;10:00:00;27946;0;16722;0
16.01.2019;10:30:00;28850;0;17748;0
16.01.2019;11:00:00;28544;0;17898;0
16.01.2019;11:30:00;28238;0;17444;0
16.01.2019;12:00:00;27710;0;16976;0
16.01.2019;12:30:00;29324;0;17078;0
16.01.2019;13:00:00;31272;0;17320;0
16.01.2019;13:30:00;34532;0;20118;0
16.01.2019;14:00:00;33080;0;19116;0
16.01.2019;14:30:00;33496;0;19440;0
16.01.2019;15:00:00;33886;0;17338;0
16.01.2019;15:30:00;34276;0;17930;0
16.01.2019;16:00:00;34156;0;19710;0
16.01.2019;16:30:00;33798;0;19534;0
16.01.2019;17:00:00;33388;0;19280;0
16.01.2019;17:30:00;33638;0;19058;0
16.01.2019;18:00:00;34264;0;19074;0
16.01.2019;18:30:00;34278;0;19354;0
16.01.2019;19:00:00;34806;0;20990;0
16.01.2019;19:30:00;33342;0;19662;0
16.01.2019;20:00:00;32718;0;19170;0
16.01.2019;20:30:00;33340;0;18884;0
16.01.2019;21:00:00;33352;0;18814;0
16.01.2019;21:30:00;33442;0;19116;0
16.01.2019;22:00:00;33624;0;18648;0
16.01.2019;22:30:00;33472;0;18694;0
16.01.2019;23:00:00;33200;0;19518;0
16.01.2019;23:30:00;29002;0;16632;0
16.01.2020;00:00:00;26196;0;16082;0
17.01.2019;00:30:00;25146;0;14600;0
17.01.2019;01:00:00;24862;0;13618;0
17.01.2019;01:30:00;20532;0;12960;0
17.01.2019;02:00:00;19470;0;12214;0
17.01.2019;02:30:00;19626;0;12928;0
17.01.2019;03:00:00;20098;0;14404;0
17.01.2019;03:30:00;19430;0;12958;0
17.01.2019;04:00:00;19828;0;13428;0
17.01.2019;04:30:00;18864;0;12682;0
17.01.2019;05:00:00;19946;0;12800;0
17.01.2019;05:30:00;20384;0;12874;0
17.01.2019;06:00:00;20948;0;14312;0
17.01.2019;06:30:00;18840;0;11460;0
17.01.2019;07:00:00;19102;0;11986;0
17.01.2019;07:30:00;19720;0;13552;0
17.01.2019;08:00:00;20778;0;14540;0
17.01.2019;08:30:00;23298;0;14820;0
17.01.2019;09:00:00;24528;0;14048;0
17.01.2019;09:30:00;30344;0;17112;0
17.01.2019;10:00:00;29934;0;16448;0
17.01.2019;10:30:00;29970;0;16344;0
17.01.2019;11:00:00;29846;0;16158;0
17.01.2019;11:30:00;33108;0;17752;0
17.01.2019;12:00:00;34634;0;17540;0
17.01.2019;12:30:00;34416;0;17540;0
17.01.2019;13:00:00;34942;0;18666;0
17.01.2019;13:30:00;35936;0;18268;0
